63,64,16.0,1.0,road
65,66,17.0,1.0,road
67,68,10.0,1.0,road
69,70,8.06225774829855,1.0,road
71,72,7.0,1.0,road
73,74,68.06614430096654,1.0,road
75,76,7.0,1.0,road
77,78,7.0710678118654755,1.0,road
79,80,8.06225774829855,1.0,road
81,82,8.06225774829855,1.0,road
83,84,13.038404810405298,1.0,road
85,25,17.0,1.0,road
87,88,20.024984394500787,1.0,road
89,90,20.0,1.0,road
91,92,9.055385138137417,1.0,road
93,94,14.0,1.0,road
95,96,15.0,1.0,road
97,98,25.019992006393608,1.0,road
99,100,48.0,1.0,road
101,102,29.017236257093817,1.0,road
103,104,18.0,1.0,road
105,102,24.020824298928627,1.0,road
106,107,11.0,1.0,road
108,109,42.01190307520001,1.0,road
110,111,23.021728866442675,1.0,road
112,113,12.0,1.0,road
114,116,79.02531240052139,1.0,road
114,115,79.05694150420949,1.0,road
117,118,7.0710678118654755,1.0,road
119,120,10.0,1.0,road
121,122,23.0,1.0,road
123,124,13.038404810405298,1.0,road
125,126,12.165525060596439,1.0,road
127,128,10.0,1.0,road
129,130,14.0,1.0,road
131,132,8.06225774829855,1.0,road
133,135,95.38343671728336,1.0,road
134,135,95.38343671728336,1.0,road
135,136,13.0,1.0,road
137,138,15.033296378372908,1.0,road
139,140,14.0,1.0,road
141,142,78.0,1.0,road
143,142,49.76946855251722,1.0,road
145,146,63.00793600809346,1.0,road
147,148,18.110770276274835,1.0,road
149,150,13.0,1.0,road
151,152,32.01562118716424,1.0,road
153,154,22.0,1.0,road
155,156,8.06225774829855,1.0,road
157,14,33.015148038438355,1.0,road
159,160,33.015148038438355,1.0,road
161,162,49.0,1.0,road
163,164,13.038404810405298,1.0,road
165,166,9.055385138137417,1.0,road
167,168,8.06225774829855,1.0,road
169,170,9.0,1.0,road
171,172,10.0,1.0,road
173,174,11.045361017187261,1.0,road
175,176,27.16615541441225,1.0,road
176,177,59.0,1.0,road
177,178,25.079872407968907,1.0,road
179,180,33.06055050963308,1.0,road
181,182,33.0,1.0,road
183,184,13.038404810405298,1.0,road
185,186,11.045361017187261,1.0,road
187,188,12.165525060596439,1.0,road
189,190,11.045361017187261,1.0,road
191,192,10.0,1.0,road
193,194,13.152946437965905,1.0,road
195,196,27.0,1.0,road
197,31,74.02702209328699,1.0,road
199,200,13.038404810405298,1.0,road
201,202,15.132745950421556,1.0,road
202,203,80.02499609497022,1.0,road
202,204,76.00657866263946,1.0,road
205,206,16.0312195418814,1.0,road
207,208,15.033296378372908,1.0,road
209,210,43.01162633521314,1.0,road
211,210,73.0,1.0,road
213,214,21.02379604162864,1.0,road
214,216,35.014282800023196,1.0,road
217,113,19.0,1.0,road
219,220,20.0,1.0,road
221,46,20.09975124224178,1.0,road
223,107,18.110770276274835,1.0,road
225,47,23.021728866442675,1.0,road
227,228,14.142135623730951,1.0,road
229,230,16.1245154965971,1.0,road
231,232,12.041594578792296,1.0,road
233,234,17.0,1.0,road
235,236,28.0,1.0,road
237,238,13.0,1.0,road
239,43,22.090722034374522,1.0,road
240,241,27.0,1.0,road
242,241,53.0,1.0,road
0,2,341.0,1.0,road
2,1,515.0,1.0,road
3,4,139.0,1.0,road
4,152,7.0,1.0,road
152,154,31.0,1.0,road
154,9,51.0,1.0,road
9,14,22.0,1.0,road
14,122,35.0,1.0,road
122,160,12.0,1.0,road
160,18,25.0,1.0,road
18,24,56.0,1.0,road
24,180,25.0,1.0,road
180,28,30.0,1.0,road
28,27,7.0,1.0,road
27,34,153.0,1.0,road
34,210,60.0,1.0,road
210,111,23.0,1.0,road
111,98,20.0,1.0,road
98,40,56.0,1.0,road
40,241,80.0,1.0,road
241,45,78.0,1.0,road
45,102,73.0,1.0,road
102,48,72.0,1.0,road
48,230,36.0,1.0,road
230,59,30.0,1.0,road
59,58,177.0,1.0,road
58,57,119.0,1.0,road
57,54,55.036351623268054,1.0,road
0,39,718.0,1.0,road
39,53,515.0009708728712,1.0,road
53,54,461.0,1.0,road
54,55,392.0,1.0,road
56,232,41.012193308819754,1.0,road
232,62,40.01249804748511,1.0,road
62,61,112.04017136723775,1.0,road
61,59,419.0,1.0,road
59,228,62.0,1.0,road
60,60,0.0,1.0,road
228,60,177.0,1.0,road
51,51,0.0,1.0,road
55,51,760.000657894452,1.0,road
21,21,0.0,1.0,road
51,21,372.0,1.0,road
21,1,101.00495037373169,1.0,road
38,39,85.0,1.0,road
47,107,72.0,1.0,road
107,46,73.0,1.0,road
46,38,72.0,1.0,road
38,37,86.0,1.0,road
37,220,25.0,1.0,road
220,113,51.0,1.0,road
113,36,83.0,1.0,road
36,216,27.0,1.0,road
47,48,256.0,1.0,road
48,49,261.0,1.0,road
49,234,63.0,1.0,road
50,234,64.0,1.0,road
50,43,145.0,1.0,road
43,236,104.0,1.0,road
236,44,23.0,1.0,road
44,116,109.0,1.0,road
116,100,18.0,1.0,road
100,45,134.0,1.0,road
104,104,0.0,1.0,road
46,104,123.0,1.0,road
104,45,133.0,1.0,road
49,44,145.0,1.0,road
41,44,158.0,1.0,road
41,96,56.0,1.0,road
96,206,61.0,1.0,road
206,33,42.0,1.0,road
33,136,79.0,1.0,road
136,29,81.0,1.0,road
29,192,24.0,1.0,road
192,126,20.0,1.0,road
126,128,9.0,1.0,road
